last_name, first_name,player_id,year,xba,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,
Hernandez, Teoscar,606192,2023,.258,90.9,35.4,14.1,6.9,48.6,
Contreras, William,661388,2023,.257,91,28,9.2,7.3,48.1,
Tatis Jr., Fernando,665487,2023,.294,92.4,33.4,11.9,8.4,50.9,
Turner, Trea,607208,2023,.259,90,36.5,7.2,6.4,40.6,
Smith, Will,669257,2023,.265,88.9,38.1,7,8.3,40.1,
Outman, James,681546,2023,.221,88.3,36.1,10.7,3.9,42.1,
Anderson, Tim,641313,2023,.262,88.1,30.6,3.1,4.5,40.5,
Franco, Wander,677551,2023,.297,89.4,35,7.7,5,43,
Bellinger, Cody,641355,2023,.265,87.3,38.7,6.1,5.5,30.3,
Bohm, Alec,664761,2023,.287,89.3,35.4,5.5,7.5,42.5,
Stephenson, Tyler,663886,2023,.237,88.9,33.3,7.1,9,42.9,
